"left_categ","centleft_categ","centright_categ","right_categ","character","switch_cond","trial_cond","trialN","opt_choice","corr_ans","obj_category","opt_choice_cat","cuedCharacter","V1","P1","V2","P2","V3","P3","V4","P4","Prob","Delta","response","respCat","accuracy","task_resp.keys","participant"
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,43,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.499702734839477,0.275463008442468,0.823172335493296,0.420864137174822,0.085909631391201,0.160170952209815,0.00119797910570417,0.143501902172895,NA,-0.00204361141561299,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,0,44,4,2,"Kitchen & utensil","Hand labour tool & accessory","stimuli/m5.png",0.292929189388659,0.275506792554193,0.823172335493296,0.420931032408804,0.085909631391201,0.160196410956187,0.00119797910570417,0.143365764080816,NA,-0.499702734839477,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,45,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.0590086148454828,0.168719666930675,0.0503608184017385,0.166818595368156,0.0173059173818103,0.159747372916543,0.938590138826573,0.504714364784627,NA,0.104757998472316,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",2,1,46,1,1,"Outdoor activity & sport item","Outdoor activity & sport item","stimuli/m2.png",0.0590086148454828,0.163885357763263,0.0503608184017385,0.16203875743015,0.0173059173818103,0.155170146067952,0.964001115863853,0.518905738738635,NA,0.0614098611734266,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,47,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.171717111020938,0.224818332200957,0.823172335493296,0.450381061378602,0.085909631391201,0.171404396541187,0.00119797910570417,0.153396209879254,NA,-0.292929189388659,3,"Electronic device & accessory",0,3,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",2,1,48,4,4,"Hand labour tool & accessory","Hand labour tool & accessory","stimuli/m5.png",0.171717111020938,0.198350729594573,0.823172335493296,0.465758755987732,0.085909631391201,0.177256783976406,0.000702263613688651,0.158633730441288,NA,-0.00119797910570417,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",3,0,49,2,1,"Outdoor activity & sport item","Kitchen & utensil","stimuli/m2.png",0.0590086148454828,0.161055776396432,0.0503608184017385,0.159241058752327,0.0173059173818103,0.152491038184278,0.978897205851224,0.527212126666963,NA,0.0359988841361466,1,"Outdoor activity & sport item",1,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",3,1,50,3,3,"Electronic device & accessory","Electronic device & accessory","stimuli/m5.png",0.171717111020938,0.198371163488095,0.823172335493296,0.465806737988333,0.085909631391201,0.177275044792775,0.000411671773541623,0.158547053730797,NA,-0.000702263613688651,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",3,1,51,2,2,"Kitchen & utensil","Kitchen & utensil","stimuli/m2.png",0.0590086148454828,0.159399338392917,0.0503608184017385,0.157603284887028,0.0173059173818103,0.150922687414777,0.573836293085201,0.532074689305278,NA,-0.978897205851224,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",3,1,52,2,2,"Kitchen & utensil","Kitchen & utensil","stimuli/m2.png",0.0590086148454828,0.204131428993383,0.0503608184017385,0.201831350634201,0.0173059173818103,0.193275983201126,0.336386792498221,0.400761237171289,NA,-0.573836293085201,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m2.png",3,1,53,2,2,"Kitchen & utensil","Kitchen & utensil","stimuli/m2.png",0.0590086148454828,0.228631395022702,0.0503608184017385,0.226055259997759,0.0173059173818103,0.216473072674615,0.197192257671371,0.328840272304924,NA,-0.336386792498221,1,"Outdoor activity & sport item",0,1,1
"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/m5.png",3,1,54,3,3,"Electronic device & accessory","Electronic device & accessory","stimuli/m5.png",0.171717111020938,0.198383137764067,0.48254930011676,0.465834855474424,0.085909631391201,0.177285745644007,0.000411671773541623,0.158496261117502,NA,-0.823172335493296,4,"Hand labour tool & accessory",0,4,1
